# Event	Time [ms]	ADC	datum
136	1815	3	1687
137	1817	0	8191
137	1817	1	0
137	1817	2	1662
137	1817	3	1548
138	1817	0	4078
138	1817	1	0
138	1817	2	1587
138	1817	3	1552
139	1865	2	1632
139	1865	3	1525
140	1877	2	1652
140	1877	3	1518
141	1884	2	1679
141	1884	3	1610
142	1903	2	1670
142	1903	3	1592
143	1909	0	7365
143	1909	1	0
143	1909	2	1552
143	1909	3	1674
144	1934	0	6952
144	1934	1	0
144	1934	2	1541
144	1934	3	1653
145	1967	0	3672
145	1967	1	0
145	1967	2	1598
145	1967	3	1537
146	1983	0	8191
146	1983	1	0
146	1983	2	1660
146	1983	3	1535
147	1995	0	3258
147	1995	1	0
147	1995	2	1633
147	1995	3	1535
148	2008	0	8191
148	2008	1	0
148	2008	2	1565
148	2008	3	1696
149	2022	0	8191
149	2022	1	0
149	2022	2	1662
149	2022	3	1578
150	2028	0	6951
150	2028	1	0
150	2028	2	1559
150	2028	3	1670
151	2047	0	8191
151	2047	1	0
151	2047	2	1661
151	2047	3	1556
152	2049	0	8191
152	2049	1	0
152	2049	2	1664
152	2049	3	1530
153	2053	0	8191
153	2053	1	0
153	2053	2	1565
153	2053	3	1699
154	2078	0	8191
154	2078	1	0
154	2078	2	1549
154	2078	3	1677
155	2100	0	8191
155	2100	1	0
155	2100	2	1669
155	2100	3	1570
156	2107	2	1657
156	2107	3	1602
157	2124	2	1667
157	2124	3	1621
158	2132	0	8191
158	2132	1	0
158	2132	2	1647
158	2132	3	1550
159	2135	0	8191
159	2135	1	0
159	2135	2	1662
159	2135	3	1586
160	2154	0	7364
160	2154	1	0
161	2154	0	8191
161	2154	1	0
161	2154	2	1547
161	2154	3	1708
162	2167	0	4082
162	2167	1	0
162	2167	2	1583
162	2167	3	1550
163	2184	2	1610
163	2184	3	1526
164	2202	2	1658
164	2202	3	1608
165	2208	0	4903
165	2208	1	54
165	2208	2	1580
165	2208	3	1574
166	2222	0	4490
166	2222	1	0
166	2222	2	1579
166	2222	3	1560
167	2235	0	1213
167	2235	1	0
167	2235	2	1655
167	2235	3	1520
168	2250	0	8191
168	2250	1	0
168	2250	2	1663
168	2250	3	1532
169	2262	0	4491
169	2262	1	0
169	2262	2	1565
169	2262	3	1550
170	2263	0	6542
170	2263	1	0
170	2263	2	1569
170	2263	3	1639
171	2267	0	6951
171	2267	1	63
171	2267	2	1558
171	2267	3	1657
172	2279	0	4080
172	2279	1	52
172	2279	2	1587
172	2279	3	1546
173	2311	0	8191
173	2311	1	0
173	2311	2	1664
173	2311	3	1536
174	2357	0	8184
174	2357	1	0
174	2357	2	1555
174	2357	3	1694
175	2414	0	2441
175	2414	1	0
175	2414	2	1618
175	2414	3	1508
176	2427	0	3671
176	2427	1	0
176	2427	2	1591
176	2427	3	1532
177	2462	0	5309
177	2462	1	62
177	2462	2	1460
177	2462	3	1819
178	2550	2	1680
178	2550	3	1534
179	2559	0	4080
179	2559	1	51
179	2559	2	1592
179	2559	3	1543
180	2580	0	803
180	2580	1	0
180	2580	2	1662
180	2580	3	1519
181	2588	2	1651
181	2588	3	1517
182	2590	0	8191
182	2590	1	0
182	2590	2	1663
182	2590	3	1533
183	2610	0	8191
183	2610	1	0
184	2633	3	1630
185	2644	2	1685
185	2644	3	1607
186	2660	2	1673
186	2660	3	1602
187	2673	0	5311
187	2673	1	40
187	2673	2	1567
187	2673	3	1587
188	2699	0	2033
188	2699	1	124
188	2699	2	1622
188	2699	3	1509
189	2702	0	8191
189	2702	1	0
189	2702	2	1661
189	2702	3	1521
190	2748	0	6136
190	2748	1	0
190	2748	2	1576
190	2748	3	1639
191	2760	2	1679
191	2760	3	1596
192	2760	0	2852
192	2760	1	48
192	2760	2	1613
192	2760	3	1523
193	2766	0	8191
193	2766	1	70
193	2766	2	1563
193	2766	3	1696
194	2781	0	1620
194	2781	1	0
194	2781	2	1643
194	2781	3	1524
195	2802	0	8182
195	2802	1	83
195	2802	2	1555
195	2802	3	1694
196	2806	0	397
196	2806	1	0
196	2806	2	1665
196	2806	3	1532
197	2858	0	4491
197	2858	1	42
197	2858	2	1571
197	2858	3	1561
198	2873	2	1665
198	2873	3	1602
199	2881	0	8191
199	2881	1	44
199	2881	2	1679
199	2881	3	1593
200	2887	2	1673
200	2887	3	1529
201	2889	0	7770
201	2889	1	0
201	2889	2	1558
201	2889	3	1684
202	2928	2	1632
202	2928	3	1525
203	2954	0	1622
203	2954	1	0
203	2954	2	1658
203	2954	3	1517
204	2985	0	4900
204	2985	1	50
204	2985	2	1563
204	2985	3	1581
205	2994	0	6542
205	2994	1	0
205	2994	2	1559
205	2994	3	1649
206	3001	2	1673
206	3001	3	1591
207	3034	2	1680
207	3034	3	1598
208	3042	0	6134
208	3042	1	46
208	3042	2	1559
208	3042	3	1622
209	3051	2	1670
209	3051	3	1609
210	3103	0	8191
210	3103	1	52
210	3103	2	1670
210	3103	3	1547
211	3121	2	1564
211	3121	3	1595
212	3133	0	6542
212	3133	1	49
212	3133	2	1560
212	3133	3	1646
213	3136	0	4489
213	3136	1	0
213	3136	2	1593
213	3136	3	1564
214	3139	0	3673
214	3139	1	0
214	3139	2	1603
214	3139	3	1536
215	3143	2	1592
215	3143	3	1543
216	3232	0	8191
216	3232	1	0
216	3232	2	1672
216	3232	3	1570
217	3253	0	7362
217	3253	1	0
217	3253	2	1559
217	3253	3	1678
218	3254	0	7775
218	3254	1	0
218	3254	2	1567
218	3254	3	1689
219	3280	0	6541
219	3280	1	0
219	3280	2	1573
219	3280	3	1654
220	3293	0	2851
220	3293	1	0
220	3293	2	1605
220	3293	3	1526
221	3301	0	1619
221	3301	1	0
221	3301	2	1625
221	3301	3	1519
222	3303	0	801
222	3303	1	0
222	3303	2	1663
222	3303	3	1517
223	3312	0	2032
